# Mazes Completed,Cumulative reward
435,16
436,17
437,22
438,12
439,20
440,12
441,27
442,11
443,28
444,34
445,19
446,23
447,12
448,25
449,18
450,20
451,15
452,13
453,15
454,11
455,12
456,9
457,10
458,14
459,23
460,17
461,14
462,20
463,11
464,13
465,15
466,21
467,15
468,12
469,10
470,23
471,19
472,15
473,20
474,13
475,23
476,26
477,19
478,18
479,15
480,9
481,13
482,11
483,9
484,12
485,13
486,31
487,14
488,7
489,10
490,12
491,11
492,14
493,11
494,22
495,9
496,14
497,23
498,14
499,17
500,33
501,9
502,19
503,10
504,12
505,22
506,16
507,18
508,26
509,22
510,21
511,11
512,16
513,16
514,16
515,17
516,10
517,10
518,17
519,18
520,19
521,15
522,9
523,29
524,13
525,10
526,10
527,16
528,12
529,22
530,21
531,17
532,8
533,13
534,14
535,15
536,23
537,26
538,12
539,11
540,10
541,21
542,18
543,40
544,9
545,15
546,15
547,8
548,13
549,12
550,15
551,18
552,9
553,21
554,22
555,15
556,17
557,13
558,20
559,27
560,14
561,30
562,9
563,14
564,13
565,44
566,15
567,15
568,25
569,10
570,19
571,9
572,8
573,10
574,11
575,8
576,11
577,20
578,11
579,10
580,16
581,24
582,29
583,14
584,11
585,20
586,17
587,8
588,20
589,12
590,15
591,17
592,14
593,13
594,31
595,11
596,17
597,12
598,35
599,43
600,14
601,10
602,23
603,61
604,19
605,13
606,9
607,12
608,12
609,11
610,16
611,25
612,9
613,20
614,29
615,16
616,25
617,35
618,14
619,13
620,8
621,18
622,13
623,21
624,21
625,14
626,15
627,31
628,11
629,14
630,13
631,12
632,12
633,12
634,12
635,17
636,14
637,18
638,15
639,15
640,14
641,8
642,15
643,14
644,25
645,18
646,8
647,14
648,18
649,13
650,12
651,15
652,17
653,14
654,12
655,9
656,12
657,15
658,18
659,28
660,14
661,15
662,14
663,15
664,12
665,10
666,15
667,7
668,26
669,18
670,8
671,11
672,18
673,9
674,11
675,13
676,18
677,12
678,28
679,13
680,26
681,16
682,17
683,8
684,7
685,13
686,12
687,13
688,8
689,16
690,14
691,19
692,15
693,24
694,15
695,9
696,14
697,8
698,11
699,20
700,11
701,9
702,19
703,11
704,25
705,12
706,28
707,20
708,9
709,11
710,7
711,9
712,18
713,6
714,14
715,19
716,16
717,13
718,14
719,9
720,17
721,14
722,10
723,10
724,12
725,23
726,14
727,43
728,13
729,10
730,20
731,12
732,27
733,13
734,9
735,9
736,9
737,18
738,23
739,11
740,21
741,10
742,8
743,13
744,19
745,14
746,9
747,10
748,24
749,22
750,14
751,7
752,14
753,8
754,9
755,12
756,14
757,15
758,18
759,24
760,10
761,25
762,15
763,25
764,18
765,12
766,9
767,22
768,9
769,13
770,8
771,11
772,23
773,14
774,8
775,11
776,22
777,8
778,13
779,10
780,16
781,10
782,12
783,8
784,17
785,8
786,11
787,16
788,19
789,14
790,15
791,7
792,7
793,9
794,16
795,15
796,6
797,13
798,8
799,11
800,46
801,13
802,17
803,17
804,16
805,7
806,18
807,11
808,24
809,8
810,20
811,10
812,12
813,15
814,17
815,14
816,22
817,8
818,11
819,16
820,7
821,10
822,12
823,8
824,9
825,13
826,12
827,20
828,20
829,8
830,15
831,11
832,12
833,26
834,10
835,9
836,11
837,15
838,27
839,20
840,8
841,14
842,8
843,10
844,16
845,14
846,24
847,8
848,7
849,13
850,9
851,12
852,14
853,9
854,12
855,18
856,12
857,20
858,10
859,12
860,11
861,13
862,15
863,7
864,32
865,14
866,14
867,8
868,7
869,12
870,12
871,31
872,10
873,9
874,8
875,15
876,13
877,9
878,15
879,8
880,8
881,26
882,9
883,11
884,8
885,15
886,9
887,18
888,9
889,7
890,10
891,16
892,18
893,25
894,10
895,12
896,9
897,14
898,11
899,10
900,13
901,20
902,20
903,12
904,19
905,10
906,22
907,12
908,14
909,9
910,20
911,13
912,13
913,11
914,13
915,10
916,12
917,9
918,9
919,8
920,10
921,9
922,7
923,15
924,8
925,10
926,11
927,10
928,8
929,11
930,9
931,10
932,11
933,24
934,11
935,10
936,11
937,9
938,13
939,15
940,27
941,10
942,10
943,13
944,8
945,18
946,16
947,10
948,11
949,9
950,10
951,12
952,10
953,10
954,16
955,10
956,8
957,7
958,11
959,11
960,9
961,12
962,10
963,13
964,17
965,11
966,10
967,18
968,17
969,9
970,20
971,7
972,16
973,10
974,11
975,8
976,10
977,6
978,8
979,8
980,7
981,12
982,13
983,17
984,13
985,9
986,10
987,10
988,13
989,10
990,9
991,10
992,10
993,9
994,17
995,11
996,9
997,9
998,6
999,9
1000,19
